wake_date,sleep_date,wake_hour,sleep_hour,gap_hours,wake_timestamp,sleep_timestamp
2024-01-22,2024-01-22,20.07,15.15,3.16,2024-01-22T20:04:12.568000-05:00,2024-01-22T15:09:58.967000-05:00
2024-01-23,2024-01-23,5.97,1.65,4.24,2024-01-23T05:58:09.403000-05:00,2024-01-23T01:39:36.207000-05:00
2024-01-23,2024-01-23,10.80,5.97,4.76,2024-01-23T10:48:03.721000-05:00,2024-01-23T05:58:09.403000-05:00
2024-01-24,2024-01-24,11.05,0.75,10.06,2024-01-24T11:03:14.714000-05:00,2024-01-24T00:45:02.540000-05:00
2024-01-25,2024-01-24,11.87,23.67,12.13,2024-01-25T11:52:47.373000-05:00,2024-01-24T23:40:33.223000-05:00
2024-01-25,2024-01-25,21.05,16.15,4.30,2024-01-25T21:03:47.232000-05:00,2024-01-25T16:09:42.083000-05:00
2024-01-26,2024-01-25,9.08,22.67,10.32,2024-01-26T09:05:11.173000-05:00,2024-01-25T22:40:27.231000-05:00
2024-01-29,2024-01-28,9.10,19.57,13.21,2024-01-29T09:06:10.291000-05:00,2024-01-28T19:34:23.335000-05:00
2024-01-30,2024-01-30,10.32,0.15,10.12,2024-01-30T10:19:49.271000-05:00,2024-01-30T00:09:48.270000-05:00
2024-01-31,2024-01-30,10.70,17.83,16.72,2024-01-31T10:42:42.402000-05:00,2024-01-30T17:50:30.274000-05:00
2024-02-01,2024-01-31,10.13,21.42,12.69,2024-02-01T10:08:42.840000-05:00,2024-01-31T21:25:33.257000-05:00
2024-02-02,2024-02-01,8.50,23.92,7.02,2024-02-02T08:30:58.752000-05:00,2024-02-01T23:55:22.224000-05:00
2024-02-05,2024-02-05,9.07,0.57,8.43,2024-02-05T09:04:34.503000-05:00,2024-02-05T00:34:39.758000-05:00
2024-02-05,2024-02-05,22.52,18.53,3.69,2024-02-05T22:31:06.502000-05:00,2024-02-05T18:32:44.192000-05:00
2024-02-06,2024-02-05,11.13,22.65,12.09,2024-02-06T11:08:38.336000-05:00,2024-02-05T22:39:27.695000-05:00
2024-02-06,2024-02-06,21.27,17.97,3.27,2024-02-06T21:16:07.827000-05:00,2024-02-06T17:58:04.805000-05:00
2024-02-07,2024-02-07,10.88,1.82,8.81,2024-02-07T10:53:23.855000-05:00,2024-02-07T01:49:02.498000-05:00
2024-02-08,2024-02-07,11.37,21.63,13.73,2024-02-08T11:22:49.868000-05:00,2024-02-07T21:38:06.381000-05:00
2024-02-09,2024-02-08,9.18,23.67,9.49,2024-02-09T09:11:12.235000-05:00,2024-02-08T23:40:03.654000-05:00
2024-02-10,2024-02-09,8.87,23.32,9.48,2024-02-10T08:52:42.962000-05:00,2024-02-09T23:19:29.106000-05:00
2024-02-11,2024-02-11,22.02,18.07,3.30,2024-02-11T22:01:50.064000-05:00,2024-02-11T18:04:34.223000-05:00
2024-02-12,2024-02-11,8.90,22.02,9.52,2024-02-12T08:54:10.182000-05:00,2024-02-11T22:01:50.064000-05:00
2024-02-13,2024-02-12,8.82,22.70,9.85,2024-02-13T08:49:24.542000-05:00,2024-02-12T22:42:28.997000-05:00
2024-02-13,2024-02-13,22.97,18.32,4.40,2024-02-13T22:58:04.167000-05:00,2024-02-13T18:19:20.547000-05:00
2024-02-14,2024-02-13,9.98,22.97,11.01,2024-02-14T09:59:57.969000-05:00,2024-02-13T22:58:04.167000-05:00
2024-02-15,2024-02-14,9.73,21.60,11.91,2024-02-15T09:44:10.561000-05:00,2024-02-14T21:36:49.101000-05:00
2024-02-16,2024-02-15,9.15,16.62,16.50,2024-02-16T09:09:14.641000-05:00,2024-02-15T16:37:25.055000-05:00
2024-02-16,2024-02-16,18.12,10.37,7.63,2024-02-16T18:07:17.508000-05:00,2024-02-16T10:22:40.490000-05:00
2024-02-17,2024-02-17,11.28,0.48,10.78,2024-02-17T11:17:30.680000-05:00,2024-02-17T00:29:26.638000-05:00
2024-02-18,2024-02-18,11.52,2.27,9.17,2024-02-18T11:31:56.514000-05:00,2024-02-18T02:16:28.780000-05:00
2024-02-19,2024-02-18,9.25,19.57,12.25,2024-02-19T09:15:27.347000-05:00,2024-02-18T19:34:36.271000-05:00
2024-02-20,2024-02-19,10.68,18.73,14.66,2024-02-20T10:41:22.442000-05:00,2024-02-19T18:44:41.226000-05:00
2024-02-21,2024-02-20,10.40,15.27,17.24,2024-02-21T10:24:52.922000-05:00,2024-02-20T15:16:13.492000-05:00
2024-02-22,2024-02-21,10.35,17.08,15.40,2024-02-22T10:21:55.998000-05:00,2024-02-21T17:05:35.781000-05:00
2024-02-23,2024-02-22,12.53,22.33,14.17,2024-02-23T12:32:16.969000-05:00,2024-02-22T22:20:10.450000-05:00
2024-02-24,2024-02-23,8.33,18.53,13.75,2024-02-24T08:20:26.521000-05:00,2024-02-23T18:32:42.392000-05:00
2024-02-24,2024-02-24,12.35,8.45,3.84,2024-02-24T12:21:13.664000-05:00,2024-02-24T08:27:17.959000-05:00
2024-02-25,2024-02-24,11.30,12.55,22.67,2024-02-25T11:18:47.450000-05:00,2024-02-24T12:33:39.090000-05:00
2024-02-26,2024-02-25,9.08,23.30,9.71,2024-02-26T09:05:41.291000-05:00,2024-02-25T23:18:41.195000-05:00
2024-02-27,2024-02-26,12.22,23.38,12.45,2024-02-27T12:13:24.293000-05:00,2024-02-26T23:23:40.386000-05:00
2024-02-27,2024-02-27,21.87,16.97,4.76,2024-02-27T21:52:28.915000-05:00,2024-02-27T16:58:21.124000-05:00
2024-02-28,2024-02-27,10.98,23.42,10.48,2024-02-28T10:59:19.413000-05:00,2024-02-27T23:25:11.133000-05:00
2024-02-29,2024-02-28,10.40,17.12,16.92,2024-02-29T10:24:35.071000-05:00,2024-02-28T17:07:52.195000-05:00
2024-03-01,2024-02-29,9.10,23.40,8.73,2024-03-01T09:06:42.446000-05:00,2024-02-29T23:24:26.184000-05:00
2024-03-04,2024-03-04,8.05,1.07,5.88,2024-03-04T08:03:40.863000-05:00,2024-03-04T01:04:10.430000-05:00
2024-03-04,2024-03-04,21.87,15.32,5.08,2024-03-04T21:52:30.079000-05:00,2024-03-04T15:19:37.567000-05:00
2024-03-05,2024-03-04,9.65,23.75,9.84,2024-03-05T09:39:42.898000-05:00,2024-03-04T23:45:04.814000-05:00
2024-03-06,2024-03-05,10.97,16.92,17.99,2024-03-06T10:58:44.250000-05:00,2024-03-05T16:55:08.011000-05:00
2024-03-07,2024-03-06,10.25,18.87,14.59,2024-03-07T10:15:43.100000-05:00,2024-03-06T18:52:17.378000-05:00
2024-03-08,2024-03-07,9.20,23.02,10.12,2024-03-08T09:12:29.090000-05:00,2024-03-07T23:01:52.986000-05:00
2024-03-10,2024-03-10,8.98,0.12,8.60,2024-03-10T08:59:05.373000-04:00,2024-03-10T00:07:00.484000-05:00
2024-03-11,2024-03-10,10.40,23.15,11.22,2024-03-11T10:24:57.493000-04:00,2024-03-10T23:09:33.567000-04:00
2024-03-11,2024-03-11,20.90,17.18,3.70,2024-03-11T20:54:56.400000-04:00,2024-03-11T17:11:17.824000-04:00
2024-03-12,2024-03-11,9.72,23.57,10.13,2024-03-12T09:43:17.529000-04:00,2024-03-11T23:34:17.692000-04:00
2024-03-12,2024-03-12,21.67,18.08,3.57,2024-03-12T21:40:31.681000-04:00,2024-03-12T18:05:21.850000-04:00
2024-03-20,2024-03-19,10.95,16.62,17.45,2024-03-20T10:57:15.901000-04:00,2024-03-19T16:37:22.385000-04:00
2024-03-21,2024-03-20,11.02,19.37,15.57,2024-03-21T11:01:17.826000-04:00,2024-03-20T19:22:54.414000-04:00
2024-03-21,2024-03-21,14.37,11.25,3.10,2024-03-21T14:22:28.527000-04:00,2024-03-21T11:15:10.008000-04:00
2024-03-22,2024-03-21,9.22,17.40,15.68,2024-03-22T09:13:21.931000-04:00,2024-03-21T17:24:44.756000-04:00
2024-03-22,2024-03-22,22.75,14.20,8.26,2024-03-22T22:45:30.576000-04:00,2024-03-22T14:12:55.185000-04:00
2024-03-23,2024-03-23,9.77,0.05,9.65,2024-03-23T09:46:46.470000-04:00,2024-03-23T00:03:10.703000-04:00
2024-03-23,2024-03-23,18.47,12.62,5.82,2024-03-23T18:28:45.919000-04:00,2024-03-23T12:37:21.802000-04:00
2024-03-23,2024-03-23,21.57,18.47,3.03,2024-03-23T21:34:11.288000-04:00,2024-03-23T18:28:45.919000-04:00
2024-03-24,2024-03-23,10.82,21.57,13.18,2024-03-24T10:49:03.131000-04:00,2024-03-23T21:34:11.288000-04:00
2024-03-25,2024-03-24,9.23,20.37,12.55,2024-03-25T09:14:50.866000-04:00,2024-03-24T20:22:30.342000-04:00
2024-03-25,2024-03-25,16.93,12.72,3.22,2024-03-25T16:56:42.539000-04:00,2024-03-25T12:43:06.967000-04:00
2024-03-25,2024-03-25,21.42,16.93,4.36,2024-03-25T21:25:10.374000-04:00,2024-03-25T16:56:42.539000-04:00
2024-03-26,2024-03-26,5.62,0.38,5.21,2024-03-26T05:37:35.978000-04:00,2024-03-26T00:23:27.605000-04:00
2024-03-27,2024-03-26,12.78,18.72,18.03,2024-03-27T12:47:55.406000-04:00,2024-03-26T18:43:59.429000-04:00
2024-03-28,2024-03-27,7.98,18.12,11.85,2024-03-28T07:59:04.899000-04:00,2024-03-27T18:07:48.133000-04:00
2024-03-29,2024-03-28,9.13,17.27,15.37,2024-03-29T09:08:58.636000-04:00,2024-03-28T17:16:10.049000-04:00
2024-03-29,2024-03-29,14.23,10.02,3.92,2024-03-29T14:14:48.413000-04:00,2024-03-29T10:01:48.541000-04:00
2024-03-30,2024-03-29,12.30,18.82,16.65,2024-03-30T12:18:39.047000-04:00,2024-03-29T18:49:22.352000-04:00
2024-03-31,2024-03-30,7.65,20.23,11.31,2024-03-31T07:39:29.867000-04:00,2024-03-30T20:14:12.577000-04:00
2024-03-31,2024-03-31,20.23,12.75,4.72,2024-03-31T20:14:29.967000-04:00,2024-03-31T12:45:36.210000-04:00
2024-04-01,2024-03-31,9.12,21.55,11.44,2024-04-01T09:07:24.292000-04:00,2024-03-31T21:33:59.661000-04:00
2024-04-02,2024-04-01,11.87,17.15,17.79,2024-04-02T11:52:42.328000-04:00,2024-04-01T17:09:11.960000-04:00
2024-04-03,2024-04-02,11.92,16.23,18.65,2024-04-03T11:55:52.780000-04:00,2024-04-02T16:14:13.485000-04:00
2024-04-04,2024-04-03,13.52,18.28,19.13,2024-04-04T13:31:25.938000-04:00,2024-04-03T18:17:41.414000-04:00
2024-04-05,2024-04-04,7.68,15.85,14.59,2024-04-05T07:41:44.788000-04:00,2024-04-04T15:51:01.695000-04:00
2024-04-06,2024-04-05,16.67,16.60,23.77,2024-04-06T16:40:22.735000-04:00,2024-04-05T16:36:26.250000-04:00
2024-04-07,2024-04-06,8.02,16.67,15.23,2024-04-07T08:01:41.152000-04:00,2024-04-06T16:40:22.735000-04:00
2024-04-08,2024-04-07,9.00,9.17,23.57,2024-04-08T09:00:12.125000-04:00,2024-04-07T09:10:21.802000-04:00
2024-04-08,2024-04-08,19.35,13.65,5.50,2024-04-08T19:21:09.035000-04:00,2024-04-08T13:39:41.374000-04:00
2024-04-09,2024-04-08,6.77,22.12,8.57,2024-04-09T06:46:55.072000-04:00,2024-04-08T22:07:49.083000-04:00
2024-04-10,2024-04-09,9.02,17.22,15.66,2024-04-10T09:01:30.062000-04:00,2024-04-09T17:13:15.533000-04:00
2024-04-11,2024-04-10,14.47,20.52,17.67,2024-04-11T14:28:09.118000-04:00,2024-04-10T20:31:57.467000-04:00
2024-04-12,2024-04-11,9.30,16.55,16.64,2024-04-12T09:18:58.716000-04:00,2024-04-11T16:33:03.767000-04:00
2024-04-14,2024-04-14,18.30,14.58,3.68,2024-04-14T18:18:18.180000-04:00,2024-04-14T14:35:52.727000-04:00
2024-04-15,2024-04-14,9.15,19.35,12.68,2024-04-15T09:09:31.810000-04:00,2024-04-14T19:21:52.310000-04:00
2024-04-15,2024-04-15,16.25,11.02,4.96,2024-04-15T16:15:42.957000-04:00,2024-04-15T11:01:54.303000-04:00
2024-04-15,2024-04-15,21.53,18.15,3.36,2024-04-15T21:32:28.713000-04:00,2024-04-15T18:09:09.946000-04:00
2024-04-16,2024-04-15,7.83,21.53,10.24,2024-04-16T07:50:31.258000-04:00,2024-04-15T21:32:28.713000-04:00
2024-04-16,2024-04-16,15.82,12.05,3.65,2024-04-16T15:49:32.278000-04:00,2024-04-16T12:03:48.914000-04:00
2024-04-17,2024-04-16,10.98,15.82,18.16,2024-04-17T10:59:53.977000-04:00,2024-04-16T15:49:32.278000-04:00
2024-04-18,2024-04-17,12.22,21.32,14.19,2024-04-18T12:13:40.379000-04:00,2024-04-17T21:19:17.743000-04:00
2024-04-18,2024-04-18,16.35,12.40,3.80,2024-04-18T16:21:23.116000-04:00,2024-04-18T12:24:36.290000-04:00
2024-04-19,2024-04-18,8.53,19.05,13.45,2024-04-19T08:32:11.667000-04:00,2024-04-18T19:03:49.826000-04:00
2024-04-19,2024-04-19,17.37,14.32,3.03,2024-04-19T17:22:13.604000-04:00,2024-04-19T14:19:20.968000-04:00
2024-04-21,2024-04-21,15.93,11.17,4.33,2024-04-21T15:56:28.288000-04:00,2024-04-21T11:10:16.661000-04:00
2024-04-22,2024-04-21,9.63,15.93,17.66,2024-04-22T09:38:24.400000-04:00,2024-04-21T15:56:28.288000-04:00
2024-04-22,2024-04-22,21.98,16.05,5.17,2024-04-22T21:59:04.117000-04:00,2024-04-22T16:03:42.630000-04:00
2024-04-23,2024-04-22,10.05,21.98,11.37,2024-04-23T10:03:07.569000-04:00,2024-04-22T21:59:04.117000-04:00
2024-04-23,2024-04-23,17.48,13.47,3.74,2024-04-23T17:29:29.053000-04:00,2024-04-23T13:28:56.495000-04:00
2024-04-24,2024-04-23,12.35,18.73,17.57,2024-04-24T12:21:24.617000-04:00,2024-04-23T18:44:40.369000-04:00
2024-04-24,2024-04-24,17.15,12.35,3.01,2024-04-24T17:09:31.464000-04:00,2024-04-24T12:21:24.617000-04:00
2024-04-25,2024-04-24,12.42,23.18,12.71,2024-04-25T12:25:00.812000-04:00,2024-04-24T23:11:00.415000-04:00
2024-04-26,2024-04-25,15.08,17.03,21.70,2024-04-26T15:05:42.143000-04:00,2024-04-25T17:02:09.965000-04:00
2024-04-28,2024-04-28,21.40,8.00,11.99,2024-04-28T21:24:03.883000-04:00,2024-04-28T08:00:15.434000-04:00
2024-04-29,2024-04-28,10.18,21.40,12.52,2024-04-29T10:11:11.117000-04:00,2024-04-28T21:24:03.883000-04:00
2024-04-30,2024-04-29,10.17,16.68,16.93,2024-04-30T10:10:48.730000-04:00,2024-04-29T16:41:15.242000-04:00
2024-05-06,2024-05-06,18.13,13.52,4.39,2024-05-06T18:08:58.685000-04:00,2024-05-06T13:31:07.603000-04:00
2024-05-07,2024-05-06,10.42,20.12,13.87,2024-05-07T10:25:53.389000-04:00,2024-05-06T20:07:35.167000-04:00
2024-05-09,2024-05-08,3.97,22.00,5.95,2024-05-09T03:58:40.644000-04:00,2024-05-08T22:00:26.152000-04:00
2024-05-09,2024-05-09,9.28,5.30,3.93,2024-05-09T09:17:49.556000-04:00,2024-05-09T05:18:12.474000-04:00
2024-05-12,2024-05-11,1.73,11.70,13.60,2024-05-12T01:44:06.811000-04:00,2024-05-11T11:42:21.807000-04:00
2024-05-12,2024-05-12,23.20,14.45,8.72,2024-05-12T23:12:37.910000-04:00,2024-05-12T14:27:27.413000-04:00
2024-05-15,2024-05-14,1.17,8.37,16.70,2024-05-15T01:10:07.885000-04:00,2024-05-14T08:22:33.106000-04:00
2024-05-15,2024-05-15,15.68,5.40,10.26,2024-05-15T15:41:56.258000-04:00,2024-05-15T05:24:04.187000-04:00
2024-05-15,2024-05-15,21.07,15.68,5.35,2024-05-15T21:04:24.159000-04:00,2024-05-15T15:41:56.258000-04:00
2024-05-16,2024-05-16,8.12,4.10,3.88,2024-05-16T08:07:09.159000-04:00,2024-05-16T04:06:08.239000-04:00
2024-05-16,2024-05-16,20.28,15.67,4.60,2024-05-16T20:17:38.692000-04:00,2024-05-16T15:40:15.476000-04:00
2024-05-17,2024-05-16,1.93,20.28,5.60,2024-05-17T01:56:24.443000-04:00,2024-05-16T20:17:38.692000-04:00
2024-05-17,2024-05-17,7.53,3.03,4.48,2024-05-17T07:32:46.035000-04:00,2024-05-17T03:02:18.849000-04:00
2024-05-18,2024-05-17,3.00,11.48,15.31,2024-05-18T03:00:46.244000-04:00,2024-05-17T11:29:35.699000-04:00
2024-05-18,2024-05-18,10.62,7.48,3.07,2024-05-18T10:37:51.683000-04:00,2024-05-18T07:29:58.226000-04:00
2024-05-19,2024-05-18,8.67,11.92,20.66,2024-05-19T08:40:34.115000-04:00,2024-05-18T11:55:48.209000-04:00
2024-05-20,2024-05-19,6.77,11.48,18.77,2024-05-20T06:46:30.264000-04:00,2024-05-19T11:29:57.721000-04:00
2024-05-21,2024-05-20,3.92,7.75,19.90,2024-05-21T03:55:53.201000-04:00,2024-05-20T07:45:32.570000-04:00
2024-05-22,2024-05-21,2.95,10.98,15.76,2024-05-22T02:57:51.351000-04:00,2024-05-21T10:59:43.915000-04:00
2024-05-22,2024-05-22,22.47,13.15,9.20,2024-05-22T22:28:04.587000-04:00,2024-05-22T13:09:33.814000-04:00
2024-05-24,2024-05-23,2.38,10.92,15.43,2024-05-24T02:23:48.777000-04:00,2024-05-23T10:55:45.802000-04:00
2024-05-24,2024-05-24,21.57,12.70,8.78,2024-05-24T21:34:44.575000-04:00,2024-05-24T12:42:10.633000-04:00
2024-05-26,2024-05-25,0.50,2.22,22.26,2024-05-26T00:30:23.885000-04:00,2024-05-25T02:13:41.182000-04:00
2024-05-26,2024-05-26,5.87,1.25,4.29,2024-05-26T05:52:18.637000-04:00,2024-05-26T01:15:58.654000-04:00
2024-05-26,2024-05-26,10.12,5.87,4.23,2024-05-26T10:07:16.657000-04:00,2024-05-26T05:52:18.637000-04:00
2024-05-26,2024-05-26,23.22,11.70,11.41,2024-05-26T23:13:16.103000-04:00,2024-05-26T11:42:47.370000-04:00
2024-05-29,2024-05-28,0.08,11.35,12.57,2024-05-29T00:05:52.800000-04:00,2024-05-28T11:21:36.286000-04:00
2024-05-29,2024-05-29,11.43,4.05,7.33,2024-05-29T11:26:15.500000-04:00,2024-05-29T04:03:39.930000-04:00
2024-05-30,2024-05-29,0.72,11.60,12.98,2024-05-30T00:43:39.653000-04:00,2024-05-29T11:36:16.722000-04:00
2024-05-30,2024-05-30,8.65,5.53,3.09,2024-05-30T08:39:08.714000-04:00,2024-05-30T05:32:42.512000-04:00
2024-05-31,2024-05-30,0.02,11.37,12.64,2024-05-31T00:01:40.943000-04:00,2024-05-30T11:22:08.604000-04:00
2024-05-31,2024-05-31,9.72,0.93,8.71,2024-05-31T09:43:24.649000-04:00,2024-05-31T00:56:44.964000-04:00
2024-06-01,2024-05-31,1.02,10.62,13.41,2024-06-01T01:01:15.032000-04:00,2024-05-31T10:37:28.521000-04:00
2024-06-01,2024-06-01,22.48,11.87,10.58,2024-06-01T22:29:42.145000-04:00,2024-06-01T11:52:58.389000-04:00
2024-06-02,2024-06-02,23.92,11.95,10.33,2024-06-02T23:55:09.403000-04:00,2024-06-02T11:57:43.983000-04:00
2024-06-04,2024-06-04,23.82,10.25,13.54,2024-06-04T23:49:04.063000-04:00,2024-06-04T10:15:54.620000-04:00
2024-06-05,2024-06-04,2.87,23.82,3.03,2024-06-05T02:52:37.926000-04:00,2024-06-04T23:49:04.063000-04:00
2024-06-06,2024-06-05,2.80,5.78,20.99,2024-06-06T02:48:16.478000-04:00,2024-06-05T05:47:51.343000-04:00
2024-06-06,2024-06-06,6.88,3.33,3.50,2024-06-06T06:53:08.132000-04:00,2024-06-06T03:20:09.776000-04:00
